src,predicted,actual
what are you doing,तुम क्या कर रहे हो,तुम क्या कर रहे हो
it is not just about experience,बात सिर्फ़ अनुभव की नहीं है,बात सिर्फ़ अनुभव की नहीं है
every night at dinner,अपने सीट ओर पर,हर रात खाने के समय
top of the wall,दीवार की ऊपर,दीवार की ऊपर
stop and let me ride,ठीक को भगवान,बंदकरोऔर मुझेसवारी
this is your responsibility,ये तुम्हारी जिम्मेदारी है,ये तुम्हारी जिम्मेदारी है
ve you already delivered me that,अगर आपने की पहले ही ही देगा यह उससे,अरे हाँ माफ करें मौरीन
there definitely was something,यक़ीनन कोई था,यक़ीनन कोई था
no you saved me,नहीं मज़ाक तो मुझे कहा,नहीं आपने मुझे बचाया
just get off of me,सिर्फ मुझसे दूर हो जाओ,बस मुझसे दूर हो जाओ
initiating neural handshake in,में तंत्रिका हाथ मिलाना शुरू,में तंत्रिका हाथ मिलाना शुरू
how do i know,मुझे कैसे पता चलेगा,मुझे कैसे पता चलेगा
forgive our staunchest foes,यही कहानी की तरह था,हमारेकट्टरशत्रुमाफ करदोमैं
he is supposed to come again,वह वह अस्पताल में है,वह फिर आने वाली है
he runs the simulations,वह कहा में कह रहा है,वह सिमुलेशन चलाता है
it is almost new years,यह लगभग नए साल की है,यह लगभग नए साल की है
it is not a ghost,यह एक इंसान नहीं है,ये कोई भूत नहीं है
your ratings are shit,उनमें अभिशाप कर रहे हैं,तुम्हारे प्रशंसकों की संख्या न के बराबर है
you are having a laugh,तुम एक अजीब बहुत हो,हँस रहे हो मेरी कीमतों में कोई
should be right here,क्या गड़बड़ हो,उसे यहीं होना चाहिए
ten seconds to live fire,पूरा पुलिस के लिए पसंद,दस सेकंड आग जीने के लिए
not according to our intel,तो कायर खुद की तरह लगती,हमारी जानकारी के मुताबिक़ नहीं
maman says that i,एमिल हैमिल्टन मुझे कहा,मा आदमी है कि मैं कहना है
no i am coming back,मैं मैं आ रहा हूँ,नहीं   मैं वापस आऊंगा
you believe in me,तुम मुझे लुभाना कर बकवास है,तुम मुझ में विश्वास करते हो
please do not do this,ए यह क्या नहीं है,कृपया ऐसा नहीं करते हैं
no she is different,नहीं वह इतना पास है,नहीं है वह अलग है
what do you want,तुम क्या चाहते हो,तुमक्याचाहतेहो
you have to mean it,आप यह विश्वास है है,आप यह मतलब के लिए है
you wanna get undressed,तुम बहुत सारे बेकार हैं मंदबुद्धि,मैं कपड़े उतारूं
she is always taking our fruit,वो सिर्फ जल्द को पारदर्शी था,वह हमेशा हमारे फल ले जाती है
who is that girl,ये लड़की कौन है,ये लड़की कौन है
oh no definitely not,कुछ भी नहीं नहीं,ओह नहीं निश्चित रूप से नहीं
attention on deck,थोड़ा रुको नीचे,डेक पर ध्यान
i know i know,मुझे पता है पता है,मुझे पता   मुझे पता है
and here i am,और भी मैं मैं,और मैं यहाँ हूँ
could not it have waited,कोई नहीं नहीं आयेगी,मेरा इंतजार नहीं कर सका
choking,वाह   घुट,वाह   घुट
scott we have problem,गाड़ी चिंतित होना चाहिए,स्कॉट हम समस्या है
and once is enough,और दो चिट्ठी से शुद्ध है,एक बार काफी है
girls laughing and teasing,लक्ष्य और और और शुरू,लड़कियांहँसऔर चिढ़ा
he belongs to the alpha,वह शॉ के नफरत कर जा रहा है,अब वह ऐल्फ़ा के अधीन है
we are still getting a signature,हम एक एक एक प्रतिबंधित कर रहे हैं,हम अभी भी एक हस्ताक्षर हो रही है
but on one condition,लेकिन एक नाव जैक है,लेकिन एक शर्त है
it is not his fault,यह उसकी गलती नहीं है,इसकी गलती नहीं है
yeah there was that,हाँ यह करते हैं,हाँ वह कारण भी था
no not at all,नहीं मेंकोईसंकेतनहींहै,नहीं बिल्कुल नहीं
every dragon has its secrets,इस बेटी में हो रही है,हर ड्रैगन के अपने कुछ रहस्य होते हैं
about an hour,एक घंटे के के बारे में,करीब़ एक घंटे पहले
b i is bi,मुझे बहुत गिर है,बी आइ बी
hard to know years,बेबी के के लिए उसे खड़े चल रहा है,कहना जरा कठिन है फिर भी कुछ साल तो जरुर लगेंगे
sure hope it am not squirrel,यकीन है कि यह गिलहरी नहीं है उम्मीद है,यकीन है कि यह गिलहरी नहीं है उम्मीद है
oh i am na gon miss you,ओह मैं तुम्हें पीछे रहा है,ओह मैं तुम्हें याद कर रहा हूँ
to reboost this company profits,फिर से बढ़ावा इस कंपनी के मुनाफे के लिए,फिर से बढ़ावा इस कंपनी के मुनाफे के लिए
this has to be it,यह अच्छा ले गया है,यह होना चाहिए
where is the pump,कप्तान कहां है,पंप कहाँ है
why did you do it,तुमने यह क्यों किया,तुमने ऐसा क्यों किया
now you sound like philip,अब आप फिलिप तरह लगती हो,अब आप फिलिप तरह लगती हो
what about this one,क्या इस बारे में,क्या इस बारे में
i have changed my mind,मुझे अपने दाँत मेरे ज़रूरत है,मैंने अपना इरादा बदल लिया है
go for the overpass,फ़ोटो के लिए जाओ   ट्रेवर,पुल के लिए जाओ
moro are you dead,दूसरा आप अंग्रेजी मर रहे हैं,आप कहाँ हैं
are you so goddamn stupid,क्या आप बेबी में हो,क्या इतने बेवकूफ हो
he is coming this way,वह उसे अकेला कर रहा था,हम कच्चे लोहे का ढलाई खाना रक्षा
tonight would be great,तो वहाँ उपर कैसा चल रहा है,तो वहाँ उपर कैसा चल रहा है
you love this car,आप इस कार को प्यार करते हैं,आप इस कार को प्यार करते हैं
take the job son,रास्ते से बाहर बाहर,बेटा काम ले लो
it is grady mr torrance,यह महान हो गया है,मैं ग्रेडी हूं श्री टॉरंस
what took you so long,क्या आप इतनी देर क्यों लगी,तुम्हें इतना समय क्यों लगा
do not use your fingers,अपनी उंगलियों का प्रयोग मत करो,अपनी उंगलियों का प्रयोग मत करो
how to find him,उसे उसके लिए से जाओ,उसे कैसे ढूंढू
i will be right there,मैं अभी वहाँ आता हूं,मैं अभी वहाँ हो जाएगा
try a little tenderness,एकछोटीसी कोमलताकाप्रयासकरें,एकछोटीसी कोमलताकाप्रयासकरें
no of course but,नहीं कोई,नहीं बिल्कुल लेकिन
you do not have to hide,आप मत मत हैं,आप को छिपाने के लिए नहीं है
what about the others,वेतन बढ़ाने के बारे में क्या,बाकी सब का क्या हुआ
bobby for christs sakes,पहले कोड के परिवार के बारे में,भगवान के लिए बॉबी
there is something wrong with you,ये अब आपके हाथो में है,तुम्हारे साथ कुछ तो गड़बड़ है
it should get circulated immediately,यह दसास्वमेघ घाट जंगह्वा है,यह तुरंत परिचालित हो जाना चाहिए
i will put them here,मैं उसे यहाँ से ले जाऊँगा,मैं इन्हें यहाँ रख देती हूँ
we do not need this guy,हमें पास कोई अधिकार नहीं है,हम इस आदमी की जरूरत नहीं है
i am your servant father,मैं अपने कॉलेज अव्वल रहा,मैं तेरा दास हूँ पिता
do not leave us alone,वाला प्रदेश बर्बाद मत जाओ,पिताजी हमें अकेला नहीं छोड़िए
it seems to be jammed,यह दिखाने के लिए शुरू हो रहा है,कुछ अटक गया है
that is a class ten,यह एक महत्वपूर्ण संदेश है,यह वाला तो दस नंबरी है
no you do not,नहीं   कभी नहीं,नहीं तुम नहीं करते
tell me president patel,मुझे शब्द दो,राष्ट्रपति पटेल मुझे बताओ
i have never seen that before,मैं उसे कभी नहीं से नहीं देखा,मैं उससे पहले कभी नहीं देखा है
that will be the cook,कोई बात हो जाएगा,यही कारण है कि कुक होगा
dannys gone away mrs torrance,ए आराम हो जा कहते हैं,डैनी दूर चला गया है श्रीमती टॉरंस
she will be back soon,वह जल्दी ही वापस हो जाएगा,वह जल्दी ही वापस हो जाएगा
boo hoo boo hoo,क्योटो हाथों में लेन आयी,बू हू बू हू
i will take the car okay,मैं कार ले जाएगा ठीक है,मैं कार ले जाएगा ठीक है
i am priyas brother shiva,मैं प्रिया का भाई शिवा बोल रहा हूँ,मैं प्रिया का भाई शिवा बोल रहा हूँ
sorry i ta got ask,मुझे पूछना पड़ेगा,मुझे पूछना पड़ेगा
i am the one who called,मैंने ही फोन किया था,मैंने ही फोन किया था
telephone rings,टेलीफोन की घंटी बजती,टेलीफोन की घंटी बजती
soft music,अशुभ संगीत,सॉफ्ट संगीत
it is like this you see,देखिए ऐसा है कि,देखिए ऐसा है कि
was the flight on time,फ्लाइट वक्त पर थी ना,फ्लाइट वक्त पर थी ना
were we here for riches,अब हम साथ करने की,हमधनके लिएयहाँआएथे
you are a useless cadet,तुम एक बेकार खेतिहर हो,तुम एक बेकार खेतिहर हो
and noone else is here,और बीएमडब्ल्यू कोई अच्छा है,अभी यहाँ कोई नहीं है
what do you mean,क्या मतलब है तुम्हारा,आप क्या मतलब है
sir are you safe,तुम तुम हो साहब,सर आप सुरक्षित हैं
this patient is in coma,यह शाम की बराबर है,इस मरीज कोमा में है
their star super pig,दुनिया में सबसे तेज केक,उनकी श्रेष्ठतम सूपर सूअर
i give you mine anyway,मैं तुम आप को देखना,मैं मेरा वैसे भी दे
great wealth power conquest,श्री लेक्स लूथर सीईओ,महान धन शक्ति विजय
i hear you suggested smuggling,मैंने सुना है आप तस्करी का सुझाव दिया,मैंने सुना है आप तस्करी का सुझाव दिया
go play in your room,अपनी घोड़े पर बायें जाओ,जाओ अपने कमरे में खेलने
we have got to go jack,हम घर होगा,हम जैक जाने के लिए मिल गया है
grunting lisa screams,स्कॉट बेहतरआदमीहो,घुरघुराना   लिसा चिल्लाती
my sweet baby,अपने अपने हाथ को जाओ,मेरा प्यारा बच्चा
why did not you say,तुम सोये क्यूँ नहीं,तुम क्यों नहीं कहा
i am an old physicist,मैं एक स्वच्छ तैनाती आदमी हूँ,मैं एक बूढ़ा भौतिक विज्ञानी हूँ
let us count er down,चलो साइकिल नीचे चलें,नीचे चलो गिनती ' एर
stay in line there,सरकार जिले बाहर,वहाँ लाइन में रहो
do you have it,आप यह देखा,क्या लेकर आए हो
what is going on,क्या हो रहा है,क्या हो रहा है
what are you doing there,आप वहां क्या कर रहे हो,आप वहां क्या कर रहे हो
man speaking native language,पुरुष अपनी मातृभाषा में बोल रहा है,पुरुष अपनी मातृभाषा में बोल रहा है
brother this is not right,भाई यह सही नहीं है,भाई यह सही नहीं है
where did he come from,वो कहाँ कहा,यह आया कहाँ से
rahul always tells about you,राहुल हमेशा आपकी बात करता है,राहुल हमेशा आपकी बात करता है
you collect them,आप उन्हें बताये,तुम्हें इनका शौक है
try to keep up,शॉन जाने के लिए ऊपर झटका,ताल से ताल मिलाओ
moving to level,स्तर   सुरक्षित स्तर   से चल रहा है,स्तर   सुरक्षित स्तर   से चल रहा है
fritz pull yourself together,फ्रिट्ज अपने आप को संभांलो,फ्रिट्ज अपने आप को संभांलो
come inside and get warm,फ्रॉ सभी फ्रॉ को क्रिस्चियन,अंदर आओ और गर्म हो
all of you shut up,तुम सब चुप हो जाओ,तुम सब चुप हो जाओ
only you must get her,ठीक है तुम उसे लग रहे हैं,केवल तुम ही इसको पा सकते हो
i do not know frau junge,मेरे तातसुहेइ पर नहीं नहीं है,मैं नहीं जानता फ्रॉ जुंग
who entered the premises,माफ में दबाया,कौन परिसर में प्रवेश किया
what have you done,तुम क्या किया है,आपने क्या किया है
is that a rip,क्‍या चीरा लगा है,क्‍या चीरा लगा है
that is mom and dads store,वो मेरे लीये की हमारा सिद्धांत है,कि माँ और पिताजी की दुकान है
after he smells mine,और बाद इस में मजा किया,मेरी सूंघने के बाद
you received a silver star,तुम एक हाथ दरवाजे बंद कर रहे हैं,एक कॉरपोरल डॉसन को
stu you are a dentist,आप तुम बहुत पाते हैं,छात्र तुम एक दंत चिकित्सक हैं
let us get outta here,यहाँ से बाहर निकलते हैं,यहाँ से बाहर निकलते हैं
i warned you,मैं तुम्हारे लिए,मैंने तुम्हें चेतावनी दी थी
girl breathes heavily,आकाश में जनरल भेजें,लड़की भारी साँस लेता है
how far to the mainland,कितनी दूर मुख्य भूमि के लिए,कितनी दूर मुख्य भूमि के लिए
pinned down brother duke,अपनी हाथों पर खून,भाई ड्यूक नीचे टिकी
i fucking love this job,मैं उसे पर वापस वापस होगा,मुझे यह नौकरी बहुत पसंद है
well that is not entirely true,वैसे यह कोई कोई नहीं है न,वैसे यह पूरी तरह सच नहीं है
sir let me speak,मुझे भी देखो,महोदय मुझे बोलते हैं
would you like a flyer,क्या तुमने एक जीवित लड़की,क्या आप एक पर्चा लेंगे
go after those two,अपने मदद के लिए धन्यवाद,उन दोनों के पीछे जाओ
i can feel him,मैं उसे महसूस कर सकता हूँ,मैं उसे महसूस कर सकता हूँ
yes mr baptiste,हाँ घर लीग,हाँ श्री बैप्टिस्ट
sometimes we could not even eat,कभीकभी हमें खाने को भी नहीं मिलता था,कभीकभी हमें खाने को भी नहीं मिलता था
and he was right,और वह वहाँ मिल,और वह सही थे
i have come my boy,मै आ गया मेरे बेटे,मै आ गया मेरे बेटे
revatis on her way,अपना ख्याल रखें,रेवती के लिए अपने रास्ते पर
will you let me in,क्या तुम मुझे अंदर आने दोगे,क्या तुम मुझे अंदर आने दोगे
i do not believe it,मुझे विश्वास नहीं है,मुझे यक़ीन नहीं हो रहा
stop and let me ride,ठीक को भगवान,बंदकरोऔर मुझेसवारी
how is he,कहाँ कौन है,वह कैसा है
what do i do,मुझे क्या करना चाहिए,मैं क्या करूं
but in that moment,लेकिन उस पल में,लेकिन उस पल में
what about his life,वेतन के बारे में क्या,क्या उनके जीवन के बारे में
these guys are common criminals,ये लोग आम अपराधी हैं,ये लोग आम अपराधी हैं
what my plan is,क्या मेरी योजना है,क्या मेरी योजना है
what makes a good leader,एक एक एक अच्छी बुरा नहीं है,क्या एक अच्छे नेता बनाता है
in,में   मैं,में
you son of a bitch,तुम सूअर के बच्चे,एक कुतिया की आप बेटा
i will break your teeth,मै तुम्हारे दाँत तोड दूंगा,मै तुम्हारे दाँत तोड दूंगा
it is for me,यह मेरे लिए है,यह मेरे लिए है
come on you fucking thing,मुझे बहुत चुकाया देखते हैं,तुम बात कमबख्त चलो
hey you all right,अरे तुम सब सही है,अरे तुम सब सही है
we all had children once,हमारे कभी थे,हमारे कभी थे
he is captain of the guards,वह कमाल में में है,ये गार्ड के कप्तान है
very much a workaholic,बहुत ज्यादा एक काम,बहुत ज्यादा एक काम
i am going to sleep,मैं सोने जा रहा हूँ,मैं सोने जा रहा हूँ
he is a funny guy,अजीब लड़का है,अजीब लड़का है
what did you tell them,क्या आप उन्हें बताना होगा,ऐ तुमने उनसे क्या कहा
gentlemen you heard the lady,उन्हें बताओ में करीब हो गई,सज्जनो आप महिला के बारे में सुना
you will never be a vegetable,तुम कभी बेकार नहीं होगे क्यों की,तुम कभी बेकार नहीं होगे क्यों की
glove compartment opens,उसके ध्यान रखो,दस्तानाडिब्बेखुलतीहै
exceptions can be made,अपवाद बनाये जा सकते है,अपवाद बनाये जा सकते है
one day we were ambushed,कम अलावा हमारी जुड़वाँ शांत हैं,एक दिन हम पर घात लगाकर हमला किया गया
god bless us all,भगवान सब बंद करो,ईश्वर हम सबपे कृपा करे
